visitors,ad_impressions,major_sports_event,genre,dayofweek,season,views_trailer,views_content
1.67,1113.81,0,Horror,Wednesday,Spring,56.7,0.51
1.46,1498.41,1,Thriller,Friday,Fall,52.69,0.32
1.47,1079.19,1,Thriller,Wednesday,Fall,48.74,0.39
1.85,1342.77,1,Sci-Fi,Friday,Fall,49.81,0.44
1.46,1498.41,0,Sci-Fi,Sunday,Winter,55.83,0.46
1.61,1588.38,1,Thriller,Sunday,Fall,49.72,0.36
1.8,1311.96,1,Others,Thursday,Fall,48.15,0.44
1.58,1690.43,0,Horror,Friday,Fall,56.11,0.44
1.7,1498.41,1,Drama,Friday,Winter,51.91,0.36
1.78,1336.16,0,Action,Wednesday,Summer,48.22,0.51
1.69,1079.19,1,Drama,Wednesday,Spring,52.55,0.39
1.62,2122.33,0,Sci-Fi,Wednesday,Winter,52.52,0.47
2.02,1246.03,1,Others,Friday,Spring,52.45,0.42
1.55,1010.87,1,Drama,Friday,Winter,190.02,0.57
1.5,1229.35,1,Others,Wednesday,Winter,59.46,0.34
1.61,1700.04,1,Horror,Monday,Fall,52.24,0.32
1.85,1590.19,0,Thriller,Wednesday,Fall,195.31,0.74
1.59,1420.88,1,Sci-Fi,Saturday,Spring,54.71,0.43
1.79,1686.75,1,Sci-Fi,Saturday,Winter,161.56,0.65
1.7,1714.73,0,Comedy,Friday,Summer,55.16,0.4
1.7,1246.03,0,Others,Wednesday,Spring,54.4,0.55
1.33,1614.01,0,Thriller,Wednesday,Fall,52.63,0.41
1.41,1383.58,0,Comedy,Saturday,Summer,192.32,0.78
1.68,1972.77,0,Sci-Fi,Saturday,Summer,50.79,0.43
1.44,1830.39,0,Horror,Friday,Fall,56.64,0.37
1.63,1714.73,0,Sci-Fi,Wednesday,Winter,56.27,0.51
1.5,1210.33,0,Others,Wednesday,Winter,56.52,0.42
1.59,1172.7,1,Sci-Fi,Thursday,Winter,124.43,0.59
1.78,1361.12,1,Others,Friday,Winter,129.2,0.55
1.25,1710.1,1,Others,Saturday,Spring,54.49,0.37
2.03,1031.85,0,Sci-Fi,Wednesday,Fall,51.83,0.46
1.76,1161.18,0,Others,Thursday,Spring,55.13,0.55
1.7,1284.86,1,Action,Friday,Summer,100.65,0.51
1.81,1342.77,0,Horror,Wednesday,Winter,54.0,0.45
1.7,1623.67,0,Others,Friday,Fall,45.42,0.43
1.81,1498.41,0,Action,Friday,Summer,52.16,0.4
1.49,1145.37,1,Thriller,Wednesday,Spring,49.63,0.4
1.72,1231.3,0,Comedy,Thursday,Summer,54.07,0.39
1.74,2122.33,1,Drama,Thursday,Winter,100.46,0.48
1.81,1590.19,0,Comedy,Saturday,Summer,52.63,0.53
1.35,1388.28,0,Sci-Fi,Friday,Winter,54.56,0.45
1.72,1701.97,0,Romance,Tuesday,Fall,56.78,0.45
2.34,1216.54,0,Romance,Friday,Winter,122.94,0.7
1.46,1189.26,1,Drama,Wednesday,Spring,130.95,0.58
1.7,1439.04,0,Romance,Thursday,Winter,59.05,0.41
1.82,1246.03,0,Drama,Tuesday,Winter,54.67,0.44
1.35,1557.2,1,Others,Friday,Winter,49.9,0.32
2.14,2122.33,1,Horror,Friday,Spring,91.49,0.6
1.73,1701.97,0,Horror,Wednesday,Spring,48.91,0.49
1.92,1342.77,1,Others,Friday,Spring,60.37,0.34
1.82,1477.62,0,Others,Wednesday,Fall,51.9,0.48
1.54,1623.67,1,Drama,Wednesday,Fall,50.94,0.36
1.25,1698.35,0,Action,Friday,Summer,106.3,0.52
1.98,1079.19,0,Horror,Friday,Fall,52.83,0.47
1.9,1336.16,0,Horror,Friday,Fall,57.18,0.49
1.41,1294.78,0,Romance,Friday,Spring,53.04,0.45
1.62,1113.81,1,Thriller,Thursday,Winter,57.73,0.37
1.62,1700.04,0,Action,Wednesday,Summer,50.82,0.47
1.67,1629.94,0,Action,Wednesday,Summer,53.87,0.51
1.25,1388.28,1,Action,Wednesday,Summer,193.46,0.75
1.63,1701.97,0,Romance,Thursday,Spring,48.48,0.41
1.92,1342.77,0,Sci-Fi,Friday,Winter,181.11,0.75
1.98,1741.52,0,Action,Friday,Summer,51.1,0.43
1.82,1639.83,0,Thriller,Friday,Spring,50.99,0.38
1.8,1152.29,1,Others,Thursday,Spring,52.26,0.44
1.44,1172.7,1,Thriller,Friday,Winter,47.11,0.41
1.46,1698.35,1,Sci-Fi,Friday,Winter,55.69,0.37
1.57,1590.19,1,Comedy,Wednesday,Summer,191.37,0.79
2.14,1229.35,0,Others,Tuesday,Winter,46.1,0.51
1.49,1498.41,0,Romance,Friday,Spring,72.08,0.43
1.75,1113.81,0,Comedy,Friday,Summer,57.48,0.49
1.73,1654.93,0,Drama,Wednesday,Summer,125.22,0.77
1.77,1700.04,0,Romance,Wednesday,Winter,54.98,0.51
1.7,1079.19,1,Comedy,Wednesday,Summer,52.03,0.52
1.76,1390.62,0,Others,Friday,Fall,48.8,0.27
1.93,1420.88,0,Sci-Fi,Wednesday,Fall,49.23,0.52
1.73,1639.83,1,Thriller,Friday,Winter,53.96,0.4
1.92,1972.77,0,Others,Thursday,Spring,51.53,0.47
1.81,1323.74,0,Action,Saturday,Summer,54.56,0.51
1.53,1525.32,0,Horror,Friday,Fall,54.0,0.29
1.39,1081.23,1,Sci-Fi,Thursday,Spring,172.77,0.63
1.68,1590.19,0,Horror,Friday,Winter,52.53,0.46
1.8,1342.77,0,Action,Friday,Summer,53.79,0.53
1.7,1992.53,0,Horror,Wednesday,Winter,30.34,0.39
1.73,1216.54,0,Action,Friday,Summer,33.51,0.34
1.33,1079.19,0,Drama,Sunday,Spring,57.29,0.42
1.54,1928.85,1,Sci-Fi,Sunday,Spring,53.19,0.45
1.76,1498.41,1,Sci-Fi,Saturday,Spring,52.14,0.44
1.39,1231.3,1,Drama,Friday,Winter,46.39,0.31
1.9,1588.38,0,Drama,Tuesday,Fall,50.09,0.47
1.9,1403.8,0,Romance,Friday,Fall,188.95,0.74
1.25,1067.64,0,Others,Tuesday,Spring,144.25,0.67
1.81,1119.9,0,Horror,Saturday,Spring,117.66,0.61
2.34,1972.77,0,Sci-Fi,Friday,Winter,49.47,0.52
1.55,1146.51,1,Others,Friday,Spring,53.63,0.34
1.8,1498.41,0,Others,Wednesday,Winter,47.81,0.41
1.33,1216.54,1,Comedy,Wednesday,Summer,185.5,0.72
2.03,1248.27,0,Romance,Wednesday,Winter,54.11,0.55
2.02,1329.48,0,Action,Wednesday,Summer,54.37,0.54
1.59,1357.74,1,Action,Wednesday,Summer,52.98,0.41
1.47,1359.8,1,Others,Sunday,Spring,55.12,0.33
1.63,1390.62,0,Others,Friday,Fall,56.45,0.39
1.48,1391.57,1,Drama,Friday,Summer,51.05,0.35
2.34,1189.26,0,Others,Friday,Fall,57.08,0.47
1.78,1557.2,1,Drama,Wednesday,Fall,58.97,0.42
1.82,1140.23,1,Romance,Wednesday,Winter,55.55,0.47
1.54,2424.2,0,Horror,Friday,Spring,133.64,0.72
1.36,1420.88,1,Others,Friday,Spring,55.94,0.36
1.85,1199.38,0,Others,Friday,Spring,50.6,0.45
1.7,1557.2,1,Drama,Wednesday,Spring,56.29,0.43
1.95,1113.81,0,Others,Thursday,Fall,51.05,0.35
1.92,1690.43,1,Romance,Friday,Spring,51.1,0.4
1.81,1229.35,1,Thriller,Friday,Fall,52.31,0.36
1.75,1140.23,1,Others,Sunday,Spring,61.98,0.57
1.92,1992.53,0,Thriller,Sunday,Winter,56.97,0.52
1.59,1113.81,0,Action,Sunday,Summer,54.06,0.49
1.82,1663.8,0,Others,Friday,Fall,51.15,0.42
1.39,1346.22,1,Others,Friday,Fall,63.13,0.29
1.49,2158.03,0,Drama,Wednesday,Winter,51.76,0.53
2.02,1321.7,0,Horror,Saturday,Fall,163.43,0.78
1.75,1200.65,1,Comedy,Wednesday,Summer,52.39,0.49
2.06,1992.53,0,Others,Friday,Spring,51.88,0.44
1.68,1216.54,1,Thriller,Monday,Winter,114.09,0.62
1.35,1311.96,0,Others,Thursday,Spring,54.39,0.35
1.82,1690.43,0,Sci-Fi,Wednesday,Winter,189.0,0.84
1.7,1928.85,0,Others,Friday,Winter,55.4,0.56
1.58,1525.32,0,Comedy,Wednesday,Summer,53.61,0.45
1.92,1391.57,0,Romance,Friday,Spring,49.02,0.42
1.9,1557.2,1,Sci-Fi,Wednesday,Winter,174.04,0.74
1.33,1336.16,1,Comedy,Thursday,Summer,50.9,0.35
1.81,1321.7,0,Others,Friday,Fall,53.25,0.34
1.74,1031.85,1,Thriller,Sunday,Fall,61.78,0.42
1.44,1701.97,0,Others,Wednesday,Spring,55.43,0.41
1.85,1623.67,1,Others,Sunday,Winter,54.15,0.47
1.27,1216.54,0,Comedy,Friday,Spring,52.22,0.34
1.76,1402.24,0,Horror,Wednesday,Fall,53.27,0.54
1.62,1403.8,0,Action,Wednesday,Summer,54.23,0.45
2.34,1701.97,0,Comedy,Wednesday,Summer,98.98,0.71
1.59,1146.51,0,Horror,Sunday,Fall,144.08,0.69
2.14,1654.93,0,Action,Wednesday,Summer,159.62,0.75
1.81,1359.8,0,Action,Friday,Summer,49.56,0.46
1.74,1398.05,0,Action,Wednesday,Summer,198.31,0.88
1.7,1083.48,1,Drama,Wednesday,Winter,179.49,0.63
1.78,1067.64,0,Thriller,Friday,Winter,52.88,0.46
1.73,1477.62,1,Sci-Fi,Friday,Spring,56.48,0.41
1.61,1199.38,1,Drama,Thursday,Spring,55.53,0.43
1.62,1469.85,1,Others,Monday,Fall,52.09,0.29
1.81,1060.86,0,Comedy,Wednesday,Summer,51.65,0.45
1.55,1710.1,1,Drama,Saturday,Spring,48.54,0.42
1.76,1390.62,0,Romance,Thursday,Winter,52.79,0.48
1.8,1113.81,1,Thriller,Friday,Winter,56.07,0.42
1.74,1189.32,0,Thriller,Sunday,Spring,51.56,0.49
1.68,1284.86,1,Horror,Friday,Spring,95.67,0.45
1.9,1200.65,0,Horror,Friday,Summer,54.95,0.49
1.59,1629.94,1,Others,Saturday,Fall,54.73,0.4
2.14,2122.33,0,Others,Saturday,Spring,52.09,0.5
1.7,1229.35,0,Others,Friday,Spring,166.6,0.78
1.9,1172.7,1,Others,Wednesday,Spring,50.74,0.46
1.35,1060.86,0,Sci-Fi,Friday,Winter,50.21,0.34
1.27,1346.22,1,Action,Wednesday,Summer,196.92,0.74
2.34,1972.77,0,Sci-Fi,Wednesday,Winter,52.88,0.55
2.19,1654.93,1,Sci-Fi,Saturday,Fall,89.94,0.61
2.02,1321.7,1,Horror,Wednesday,Fall,56.85,0.51
1.44,1199.38,1,Sci-Fi,Wednesday,Fall,48.84,0.32
1.39,1359.8,1,Romance,Wednesday,Fall,125.77,0.6
1.61,1992.53,1,Others,Friday,Spring,51.03,0.39
1.44,1402.24,0,Horror,Wednesday,Fall,52.07,0.47
1.75,1321.7,1,Horror,Monday,Fall,52.14,0.46
1.84,1323.74,0,Romance,Saturday,Spring,52.32,0.47
1.59,1231.3,0,Drama,Thursday,Winter,54.91,0.42
1.68,1714.73,0,Romance,Friday,Winter,195.64,0.71
1.68,1402.24,0,Drama,Friday,Winter,49.42,0.39
1.76,1525.32,0,Sci-Fi,Wednesday,Winter,51.51,0.49
1.75,1420.88,1,Horror,Wednesday,Winter,170.55,0.72
1.74,2122.33,0,Comedy,Saturday,Summer,52.15,0.53
1.57,1588.38,0,Thriller,Thursday,Winter,45.28,0.47
1.78,1525.32,0,Others,Wednesday,Fall,54.73,0.47
1.83,1189.32,0,Romance,Sunday,Fall,52.32,0.53
1.81,1083.48,1,Sci-Fi,Wednesday,Winter,49.36,0.42
1.58,1231.3,1,Others,Wednesday,Winter,50.09,0.54
1.62,1172.7,0,Drama,Wednesday,Fall,58.48,0.49
1.73,1629.94,1,Romance,Friday,Winter,52.19,0.34
1.7,2424.2,0,Sci-Fi,Friday,Winter,46.23,0.38
1.74,1741.52,0,Horror,Wednesday,Fall,116.13,0.65
1.69,1498.41,1,Romance,Friday,Fall,46.5,0.32
1.5,1629.94,0,Horror,Saturday,Winter,39.81,0.46
1.59,1119.9,0,Others,Wednesday,Fall,115.26,0.62
1.81,1557.2,0,Comedy,Thursday,Summer,54.79,0.5
1.62,1390.62,1,Romance,Friday,Winter,83.81,0.42
1.92,1398.05,1,Romance,Wednesday,Spring,51.0,0.37
1.67,1161.18,1,Romance,Friday,Summer,53.9,0.37
1.54,2158.03,1,Others,Thursday,Spring,56.07,0.44
1.61,1262.25,1,Horror,Saturday,Fall,55.09,0.4
1.55,1469.85,0,Others,Wednesday,Fall,105.54,0.52
1.44,1498.41,0,Sci-Fi,Saturday,Winter,66.28,0.51
1.46,1498.41,0,Drama,Wednesday,Fall,60.44,0.48
1.81,2162.24,0,Comedy,Wednesday,Summer,57.83,0.5
1.33,1140.23,0,Others,Friday,Spring,50.68,0.39
1.75,1663.8,1,Thriller,Wednesday,Winter,49.74,0.44
1.27,1248.27,0,Comedy,Wednesday,Summer,52.56,0.41
1.82,1210.33,0,Romance,Friday,Winter,54.04,0.47
1.74,1469.85,0,Action,Wednesday,Summer,52.11,0.53
1.68,1357.74,1,Action,Wednesday,Summer,50.23,0.48
1.59,1294.78,0,Thriller,Thursday,Winter,136.83,0.71
1.82,1359.8,1,Drama,Friday,Fall,51.19,0.29
1.46,1700.04,0,Drama,Friday,Fall,49.63,0.33
1.46,1172.7,0,Thriller,Friday,Spring,54.22,0.44
1.77,1629.94,1,Others,Thursday,Winter,59.97,0.46
1.75,1614.01,0,Comedy,Saturday,Summer,51.63,0.53
1.48,1189.32,1,Others,Friday,Spring,48.99,0.53
1.77,1701.97,0,Sci-Fi,Wednesday,Winter,59.26,0.55
1.61,1714.73,0,Sci-Fi,Thursday,Winter,51.34,0.51
1.73,1698.35,1,Action,Thursday,Summer,55.24,0.47
1.78,1190.25,1,Comedy,Wednesday,Summer,54.45,0.49
1.77,1199.38,1,Drama,Wednesday,Winter,57.41,0.44
1.46,1248.27,0,Others,Saturday,Spring,52.74,0.48
1.54,1469.85,1,Romance,Friday,Fall,50.26,0.29
2.03,2424.2,0,Others,Saturday,Winter,56.93,0.54
1.93,1383.58,1,Thriller,Wednesday,Fall,135.75,0.61
1.93,1161.18,1,Sci-Fi,Wednesday,Winter,103.33,0.6
1.81,1190.25,0,Thriller,Friday,Fall,55.34,0.54
1.36,1972.77,1,Drama,Wednesday,Winter,56.85,0.33
2.16,1398.05,1,Drama,Wednesday,Winter,68.54,0.58
1.95,1403.8,0,Drama,Wednesday,Spring,148.29,0.66
1.48,1690.43,1,Sci-Fi,Friday,Winter,53.87,0.35
1.44,1588.38,0,Drama,Wednesday,Summer,54.43,0.54
1.76,1554.74,0,Action,Friday,Fall,90.5,0.51
1.73,2122.33,0,Thriller,Sunday,Summer,47.1,0.44
1.58,2424.2,1,Action,Wednesday,Spring,49.34,0.37
1.8,1714.73,0,Horror,Friday,Winter,46.7,0.47
1.62,1190.25,0,Others,Thursday,Spring,138.91,0.61
1.59,1590.19,1,Others,Wednesday,Fall,106.34,0.54
1.78,1663.8,0,Horror,Wednesday,Winter,51.1,0.5
2.06,1439.04,0,Horror,Saturday,Spring,57.72,0.5
2.14,1031.85,0,Action,Saturday,Winter,51.55,0.63
2.02,1284.86,0,Horror,Friday,Fall,94.84,0.59
1.72,1152.29,0,Horror,Friday,Summer,54.8,0.36
1.57,1639.83,1,Action,Wednesday,Summer,52.06,0.43
1.53,1972.77,0,Action,Friday,Summer,52.3,0.4
1.5,1557.2,0,Drama,Friday,Fall,183.38,0.72
1.75,1525.32,0,Others,Wednesday,Summer,64.61,0.51
1.41,1329.48,0,Comedy,Wednesday,Fall,52.42,0.42
1.75,1060.86,0,Thriller,Friday,Summer,58.99,0.5
1.93,1199.38,1,Action,Friday,Summer,45.64,0.43
1.68,1701.97,0,Comedy,Wednesday,Winter,50.65,0.43
1.53,1654.93,0,Romance,Friday,Spring,52.68,0.4
1.41,1701.97,0,Horror,Thursday,Spring,54.69,0.41
1.85,1081.23,0,Drama,Friday,Summer,56.4,0.45
1.79,1216.54,0,Comedy,Friday,Spring,57.03,0.54
1.81,1498.41,0,Drama,Monday,Summer,68.88,0.55
1.81,1060.86,0,Action,Thursday,Summer,51.01,0.41
2.34,1890.97,1,Action,Thursday,Fall,51.03,0.5
1.25,1623.67,1,Drama,Wednesday,Summer,50.6,0.51
1.46,1231.3,1,Action,Thursday,Winter,50.13,0.41
1.61,1199.38,0,Drama,Wednesday,Spring,64.75,0.43
1.69,2158.03,0,Romance,Friday,Winter,62.06,0.45
1.7,1390.62,0,Others,Saturday,Fall,55.42,0.52
1.34,1972.77,1,Thriller,Wednesday,Fall,57.08,0.35
1.57,1161.18,1,Horror,Wednesday,Spring,54.47,0.43
1.79,1614.01,0,Others,Wednesday,Winter,54.65,0.55
1.72,1342.77,1,Others,Friday,Summer,57.28,0.37
1.54,1284.86,0,Drama,Monday,Winter,50.37,0.42
1.63,1623.67,0,Action,Wednesday,Winter,108.2,0.46
1.44,1420.88,0,Others,Friday,Summer,49.86,0.37
1.33,1710.1,0,Others,Friday,Fall,34.68,0.3
2.06,1614.01,1,Action,Friday,Winter,53.19,0.37
1.93,1686.75,1,Others,Sunday,Spring,55.19,0.53
2.06,1246.03,0,Romance,Friday,Winter,50.71,0.41
1.35,1588.38,1,Others,Wednesday,Fall,52.03,0.34
2.14,1119.9,0,Drama,Friday,Winter,54.04,0.51
2.03,1229.35,0,Romance,Friday,Fall,50.47,0.51
1.79,1588.38,0,Sci-Fi,Saturday,Winter,52.78,0.43
1.68,2424.2,1,Drama,Wednesday,Spring,53.84,0.49
1.44,1614.01,0,Others,Wednesday,Summer,53.39,0.48
1.34,1329.48,0,Sci-Fi,Friday,Winter,48.49,0.35
1.33,1361.12,0,Comedy,Friday,Winter,53.72,0.43
1.81,1357.74,0,Romance,Friday,Winter,66.22,0.5
1.73,1972.77,1,Drama,Tuesday,Summer,52.73,0.4
1.93,1623.67,0,Romance,Wednesday,Summer,46.28,0.52
1.36,1477.62,1,Action,Wednesday,Spring,57.91,0.38
1.85,1284.86,0,Comedy,Saturday,Summer,53.7,0.53
1.61,1010.87,1,Thriller,Tuesday,Spring,49.77,0.4
2.19,1083.48,0,Action,Friday,Winter,75.73,0.64
1.44,1229.35,0,Romance,Wednesday,Fall,56.82,0.38
1.79,1588.38,0,Sci-Fi,Friday,Summer,53.72,0.58
1.8,1323.74,1,Horror,Friday,Winter,57.15,0.31
1.9,1294.78,0,Drama,Wednesday,Summer,52.74,0.52
1.81,1663.8,0,Drama,Wednesday,Fall,56.18,0.51
1.7,1403.8,0,Comedy,Friday,Winter,80.19,0.54
1.72,1200.65,1,Others,Friday,Winter,50.06,0.34
1.95,1216.54,1,Romance,Wednesday,Summer,54.45,0.47
1.67,2122.33,1,Others,Sunday,Spring,51.65,0.39
1.59,1321.7,0,Drama,Friday,Winter,53.95,0.4
1.35,1262.25,0,Others,Thursday,Spring,48.49,0.44
1.7,1383.58,0,Others,Monday,Fall,51.04,0.43
1.48,1231.3,0,Others,Thursday,Fall,53.58,0.37
1.61,1359.8,1,Sci-Fi,Sunday,Fall,52.46,0.43
2.02,1081.23,0,Others,Thursday,Fall,54.67,0.48
1.49,1336.16,0,Sci-Fi,Wednesday,Spring,55.05,0.51
1.34,1189.32,0,Thriller,Wednesday,Winter,56.82,0.5
1.62,1146.51,0,Drama,Wednesday,Summer,52.95,0.45
1.26,1060.86,0,Others,Saturday,Summer,64.76,0.46
1.54,1210.33,0,Action,Friday,Fall,52.37,0.41
1.49,2424.2,0,Comedy,Friday,Winter,50.88,0.46
1.41,1890.97,1,Thriller,Friday,Spring,56.83,0.37
1.79,2158.03,1,Sci-Fi,Wednesday,Winter,47.87,0.45
2.16,1686.75,0,Thriller,Friday,Spring,46.36,0.54
1.84,1346.22,0,Others,Thursday,Fall,52.86,0.41
1.85,1663.8,1,Others,Wednesday,Fall,54.99,0.45
1.8,1346.22,0,Others,Wednesday,Fall,38.82,0.41
1.39,1229.35,0,Sci-Fi,Wednesday,Spring,53.98,0.44
1.6,1701.97,0,Horror,Friday,Fall,55.74,0.46
1.57,1311.96,0,Others,Saturday,Spring,46.59,0.48
1.81,1146.51,1,Horror,Wednesday,Fall,58.83,0.47
1.73,1031.85,0,Thriller,Friday,Fall,56.74,0.48
2.34,1311.96,0,Horror,Saturday,Fall,55.09,0.55
1.77,1190.25,0,Horror,Tuesday,Winter,123.38,0.68
1.72,1639.83,0,Thriller,Sunday,Spring,57.36,0.48
2.06,1928.85,1,Sci-Fi,Saturday,Summer,52.4,0.51
2.14,1152.29,0,Thriller,Thursday,Fall,56.62,0.49
1.75,1972.77,0,Drama,Sunday,Fall,96.61,0.58
1.27,1199.38,0,Others,Wednesday,Summer,91.94,0.6
1.57,1403.8,0,Thriller,Wednesday,Summer,53.56,0.45
2.06,1329.48,1,Comedy,Wednesday,Summer,56.6,0.61
1.39,1972.77,1,Action,Friday,Winter,117.85,0.47
1.67,1498.41,0,Comedy,Friday,Spring,44.23,0.34
1.46,1588.38,0,Drama,Friday,Winter,57.94,0.49
1.69,1342.77,0,Thriller,Friday,Spring,51.18,0.47
1.59,1311.96,1,Others,Saturday,Winter,49.31,0.43
1.82,1477.62,0,Horror,Tuesday,Fall,57.7,0.48
1.6,1329.48,1,Romance,Wednesday,Fall,50.53,0.38
